Index	ID	Freq	iHH_0	iHH_1	iHS	Std iHS
850	850	0.0032792	108.057	152.517	-0.344621	0.190028
851	851	0.0159275	109.744	363.956	-1.19888	-0.524171
862	862	0.688164	525.106	106.094	1.59927	0.938251
863	863	0.0131168	99.157	343.077	-1.24125	-0.559596
867	867	0.185665	121.606	539.138	-1.48918	-1.43458
868	868	0.163023	114.237	672.705	-1.77303	-2.59423
871	871	0.0117114	103.503	288.663	-1.02566	-0.37935
873	873	0.187071	149.13	107.605	0.326355	-0.123798
876	876	0.16802	143.667	26.0139	1.70886	0.668147
877	877	0.271549	182.904	42.3412	1.4632	1.04179
878	878	0.163648	148.601	26.5489	1.72228	0.680714
882	882	0.0691755	115.855	326.542	-1.03622	-0.627117
883	883	0.00421611	102.664	80.2428	0.246408	0.684155
884	884	0.150687	146.903	32.5665	1.50649	1.07431
885	885	0.158182	150.151	31.2531	1.56952	1.13535
886	886	0.00577764	103.066	53.4901	0.655872	1.02649
890	890	0.0418488	113.433	47.7888	0.864423	2.07161
894	894	0.181293	158.271	35.7305	1.4883	0.7151
895	895	0.00577764	101.948	48.2732	0.747582	1.10316
897	897	0.70331	578.338	100.125	1.75374	1.10828
898	898	0.187227	168.225	45.3589	1.3107	0.586875
899	899	0.188007	168.562	45.318	1.3136	0.58897
900	900	0.188788	168.878	45.2524	1.31692	0.591365
901	901	0.188944	168.942	45.2582	1.31717	0.591548
902	902	0.18426	166.926	47.3224	1.26057	0.550682
904	904	0.19035	169.627	46.5089	1.29396	0.574788
905	905	0.190037	169.506	46.6325	1.29059	0.572358
912	912	0.0237352	114.742	43.1572	0.977838	0.83646
914	914	0.0110868	111.26	73.7258	0.411513	0.82219
917	917	0.187383	169.186	55.289	1.11843	0.44806
918	918	0.20253	175.334	52.5305	1.2053	0.409388
921	921	0.194097	129.486	613.411	-1.55547	-1.48243
923	923	0.21346	181.59	54.5072	1.20342	0.407925
925	925	0.214241	181.916	54.3734	1.20767	0.411231
926	926	0.214241	181.916	54.3734	1.20767	0.411231
927	927	0.214241	181.916	54.3734	1.20767	0.411231
930	930	0.21471	182.003	54.3663	1.20828	0.411706
931	931	0.00577764	108.424	59.3725	0.602221	0.981631
932	932	0.214866	181.908	53.8549	1.21721	0.418648
935	935	0.00577764	109.092	61.7202	0.569579	0.95434
936	936	0.216271	182.589	53.427	1.22892	0.427755
937	937	0.21471	181.935	54.2498	1.21005	0.413082
940	940	0.0199875	118.863	272.052	-0.828017	-0.214112
942	942	0.00421611	113.357	97.9904	0.145669	0.599933
945	945	0.138819	147.961	131.452	0.118307	-0.623517
947	947	0.0131168	114.997	349.49	-1.11157	-0.451173
950	950	0.00374766	112.355	39.2465	1.0518	1.3575
955	955	0.00780762	113.563	46.4652	0.893654	1.22528
961	961	0.683791	520.79	111.853	1.53816	0.814713
962	962	0.0138976	111.219	44.2438	0.921784	1.2488
963	963	0.00718301	108.692	47.1243	0.835729	1.17685
964	964	0.213304	174.915	41.07	1.44902	0.598916
968	968	0.0134291	107.928	45.0049	0.874693	1.20943
969	969	0.200656	169.667	45.084	1.32531	0.502712
970	970	0.207839	172.832	42.7369	1.39726	0.558663
977	977	0.201124	169.51	43.3522	1.36355	0.53245
978	978	0.205028	171.083	41.8323	1.40848	0.56739
979	979	0.235322	140.393	379.06	-0.993251	0.0099571
980	980	0.187227	163.827	42.7954	1.34238	0.60975
982	982	0.214553	175.331	36.8176	1.5607	0.685758
984	984	0.00421611	105.813	662.171	-1.83386	-1.05504
986	986	0.00577764	106.529	64.344	0.50417	0.899656
989	989	0.0651156	118.401	382.972	-1.17388	-0.764871
990	990	0.171768	156.648	44.6797	1.25448	0.242413
991	991	0.167708	155.123	46.7299	1.19984	0.191211
993	993	0.00405996	104.022	97.5976	0.0637484	0.531444
995	995	0.193785	126.284	605.39	-1.56734	-1.491
996	996	0.205497	172.602	41.8198	1.41762	0.574494
1006	1006	0.0705809	129.109	335.382	-0.954613	-0.545462
1015	1015	0.00374766	114.985	112.734	0.0197695	0.494675
1019	1019	0.147876	156.812	49.2346	1.15845	0.737256
1020	1020	0.133979	151.25	52.3644	1.0607	0.54893
1021	1021	0.0179575	112.832	42.9466	0.965941	1.28572
1022	1022	0.13273	150.72	52.2951	1.05852	0.546218
1023	1023	0.19925	174.532	31.738	1.70459	0.871259
1025	1025	0.137726	153.267	43.7946	1.25267	0.787755
1029	1029	0.00640225	113.785	1188	-2.34571	-1.48297
1030	1030	0.00421611	113.808	157.091	-0.322307	0.208684
1032	1032	0.202217	139.441	517.101	-1.3106	-1.54706
1033	1033	0.00577764	111.155	80.5982	0.32145	0.746894
1035	1035	0.00577764	111.152	80.5982	0.321418	0.746867
1037	1037	0.200968	137.637	572.048	-1.4246	-1.63572
1038	1038	0.200187	137.411	577.776	-1.43621	-1.64475
1046	1046	0.156933	153.306	107.241	0.357356	-0.0385646
1050	1050	0.00421611	109.455	157.091	-0.36131	0.176075
1051	1051	0.00546533	109.958	80.4253	0.312772	0.739638
1052	1052	0.00515303	109.896	92.7043	0.170115	0.620371
1053	1053	0.00421611	109.462	362.424	-1.19724	-0.5228
1054	1054	0.00858838	110.405	204.507	-0.616452	-0.0372346
1057	1057	0.219082	171.633	82.7688	0.729307	0.0392384
1060	1060	0.0772954	126.657	281.802	-0.799721	-0.390472
1062	1062	0.00577764	110.769	76.2827	0.373004	0.789995
1063	1063	0.00827608	111.208	207.965	-0.625964	-0.0451872
1066	1066	0.0131168	111.742	359.377	-1.16818	-0.498503
1069	1069	0.202686	168.056	37.1816	1.50848	0.645155
1070	1070	0.202061	167.8	37.2591	1.50487	0.642348
1071	1071	0.00671455	103.481	42.3645	0.893079	1.2248
1074	1074	0.213616	172.153	34.5366	1.60637	0.721272
1075	1075	0.21268	171.782	34.5084	1.60502	0.720226
1076	1076	0.212836	171.85	34.4609	1.60679	0.721604
1077	1077	0.185197	159.843	37.7714	1.44264	0.682132
1079	1079	0.174266	155.391	38.904	1.38485	0.364556
1080	1080	0.172392	154.659	35.4435	1.47328	0.447415
1081	1081	0.683011	516.632	99.6228	1.64594	1.0326
1082	1082	0.393348	203.101	169.387	0.181517	-nan
1085	1085	0.210337	169.34	38.8825	1.47137	0.616291
1089	1089	0.214241	171.115	38.4035	1.49419	0.634038
1090	1090	0.214241	171.115	38.4035	1.49419	0.634038
1091	1091	0.193473	162.442	44.439	1.2962	0.576411
1093	1093	0.198157	130.706	552.134	-1.44084	-1.39967
1095	1095	0.211587	169.499	42.2715	1.38874	0.552036
1097	1097	0.214866	171.322	41.8356	1.4098	0.568412
1098	1098	0.215022	171.336	41.7763	1.4113	0.56958
1100	1100	0.214866	171.352	41.8653	1.40926	0.567995
1101	1101	0.214866	171.352	41.8653	1.40926	0.567995
1102	1102	0.214866	171.352	41.8653	1.40926	0.567995
1103	1103	0.224547	140.279	475.067	-1.21982	-0.397705
1107	1107	0.214866	184.221	44.7668	1.41467	0.5722
1108	1108	0.213304	183.698	45.2704	1.40064	0.561292
1109	1109	0.213304	183.698	45.2704	1.40064	0.561292
1110	1110	0.213304	183.698	45.2704	1.40064	0.561292
1111	1111	0.0178014	113.856	53.9488	0.746898	1.10259
1112	1112	0.213304	183.691	45.0949	1.40449	0.564283
1113	1113	0.00608994	111.056	59.1348	0.630215	1.00504
1114	1114	0.213148	183.494	45.1116	1.40304	0.56316
1117	1117	0.21471	184.167	44.8282	1.41301	0.57091
1119	1119	0.00468457	111.077	110.446	0.00569778	0.482911
1121	1121	0.214866	184.084	44.6241	1.41712	0.574106
1123	1123	0.214866	184.1	44.6241	1.4172	0.574172
1127	1127	0.214397	183.816	44.6585	1.41489	0.572372
1131	1131	0.0267021	115.575	362.159	-1.14216	-0.848266
1132	1132	0.137414	140.919	148.496	-0.0523778	-0.835868
1133	1133	0.0702686	123.879	53.9132	0.831931	1.24221
1134	1134	0.21143	175.029	29.5266	1.77966	0.856032
1135	1135	0.210806	174.774	29.6112	1.77534	0.852674
1136	1136	0.0134291	109.238	335.451	-1.12195	-0.45985
1139	1139	0.438788	174.46	253.812	-0.374901	-0.547796
1141	1141	0.00811993	104.808	44.5962	0.854478	1.19253
1142	1142	0.00484072	104.136	673.108	-1.86621	-1.08209
1146	1146	0.00827608	105.224	31.697	1.19987	1.48129
1147	1147	0.696127	558.238	114.145	1.58731	0.914076
1150	1150	0.0131168	115.045	358.501	-1.13661	-0.472108
1152	1152	0.196596	176.5	34.5257	1.63162	0.818572
1153	1153	0.207058	180.723	32.8338	1.70551	0.798369
1155	1155	0.206277	180.637	33.1242	1.69622	0.791148
1157	1157	0.210025	182.203	32.3626	1.72812	0.81595
1159	1159	0.21143	182.76	31.9614	1.74365	0.828026
1160	1160	0.209557	182.122	32.4856	1.72388	0.812655
1162	1162	0.208932	181.869	32.4776	1.72274	0.811766
1163	1163	0.206277	180.816	32.9	1.70401	0.797203
1164	1164	0.00593379	111.1	909.093	-2.10202	-1.27924
1165	1165	0.08401	133.332	43.5185	1.11966	1.01872
1166	1166	0.00593379	111.398	909.093	-2.09934	-1.277
1168	1168	0.180512	170.477	33.4648	1.6281	0.816035
1172	1172	0.00452842	115.967	114.366	0.0139008	0.489769
1173	1173	0.0131168	117.722	368.445	-1.14096	-0.47575
1178	1178	0.00671455	116.406	40.676	1.05145	1.3572
1179	1179	0.0104622	116.74	174.316	-0.40092	0.14296
1181	1181	0.202217	136.756	557.069	-1.40449	-1.62008
1182	1182	0.020456	113.527	286.053	-0.924137	-0.675007
1183	1183	0.0473142	119.15	529.797	-1.49211	-0.743333
1184	1184	0.0182698	112.828	21.4167	1.66169	1.8674
1185	1185	0.0273267	114.925	20.1747	1.73985	1.44202
1190	1190	0.0980637	133.396	42.5164	1.14343	1.04904
1192	1192	0.0131168	109.241	365.053	-1.20648	-0.530529
1193	1193	0.207058	172.476	21.9083	2.06339	1.07667
1196	1196	0.186602	164.023	24.109	1.91742	1.02492
1198	1198	0.186602	164.031	24.1154	1.9172	1.02476
1200	1200	0.189725	150.9	118.627	0.240628	-0.185692
1202	1202	0.0193629	110.584	28.129	1.36898	1.62267
1205	1205	0.150843	149.858	28.2047	1.6702	1.23286
1207	1207	0.200187	169.612	21.8648	2.04864	1.0652
1208	1208	0.224547	131.145	487.533	-1.31306	-0.565463
1209	1209	0.200968	175.058	23.4296	2.01112	1.03602
1212	1212	0.0065584	110.096	51.75	0.754932	1.1093
1213	1213	0.180668	165.563	26.8946	1.81743	0.952721
1215	1215	0.179419	164.934	27.2638	1.79998	0.753523
1216	1216	0.0120237	111.6	23.686	1.55004	1.77405
1217	1217	0.194566	172.209	25.3344	1.91654	1.02428
1218	1218	0.193785	171.648	25.4567	1.90846	1.01845
1219	1219	0.0950968	134.528	61.7371	0.778885	0.58413
1220	1220	0.0107745	111.602	29.058	1.34565	1.60317
1221	1221	0.507964	205.414	220.09	-0.069011	-1
1222	1222	0.0849469	121.697	217.325	-0.579859	-1.14869
1223	1223	0.103529	135.876	60.8152	0.803906	0.578377
1224	1224	0.236571	107.111	813.692	-2.02771	-1.85134
1225	1225	0.00811993	135.219	77.3473	0.558594	0.945156
1226	1226	0.13351	178.811	45.3761	1.37135	0.935402
1230	1230	0.0113991	136.538	394.34	-1.06061	-0.408569
1232	1232	0.113523	172.362	59.9124	1.05671	0.897653
1233	1233	0.214241	219.448	36.6616	1.78938	0.863592
1236	1236	0.21471	220.044	36.8757	1.78628	0.861178
1237	1237	0.21471	220.044	36.8757	1.78628	0.861178
1240	1240	0.102592	168.151	64.2192	0.962557	0.778742
1242	1242	0.0131168	139.845	377.629	-0.993377	-0.352361
1245	1245	0.00640225	138.031	54.3462	0.932103	1.25743
1249	1249	0.214866	219.828	54.0505	1.40293	0.56307
1251	1251	0.0118676	137.448	456.877	-1.20117	-0.526085
1252	1252	0.214866	220.504	54.4337	1.39893	0.559964
1253	1253	0.00577764	135.972	116.721	0.152661	0.605779
1255	1255	0.21471	220.466	54.7458	1.39304	0.555382
1256	1256	0.214866	220.602	54.7011	1.39448	0.556499
1257	1257	0.215178	220.797	54.5571	1.398	0.559236
1261	1261	0.00374766	136.116	248.839	-0.603299	-0.0262383
1262	1262	0.214866	220.762	54.8357	1.39275	0.555152
1263	1263	0.0573079	147.936	382.304	-0.949439	-0.0950941
1264	1264	0.214866	217.605	54.0082	1.39355	0.555776
1266	1266	0.214866	217.605	53.9952	1.39379	0.555963
1269	1269	0.217208	218.846	52.7137	1.42349	0.579063
1273	1273	0.214866	217.763	53.8266	1.39764	0.55896
1274	1274	0.214866	217.763	53.8266	1.39764	0.55896
1275	1275	0.214866	217.763	53.8266	1.39764	0.55896
1278	1278	0.0474703	146.32	541.266	-1.30812	-0.523545
1279	1279	0.205184	219.189	54.7622	1.38693	0.550634
1280	1280	0.20534	219.274	54.7002	1.38845	0.551815
1281	1281	0.0131168	140.566	378.195	-0.989734	-0.349316
1282	1282	0.08604	165.987	77.3466	0.763615	0.564656
1284	1284	0.00827608	140.633	66.3478	0.75124	1.10622
1285	1285	0.209713	223.726	46.3472	1.57426	0.696308
1287	1287	0.211274	224.465	45.8637	1.58805	0.707027
1288	1288	0.210806	224.382	45.8361	1.58828	0.707207
1289	1289	0.210806	224.332	45.7972	1.5889	0.707693
1290	1290	0.21065	224.286	45.8635	1.58725	0.706409
1291	1291	0.205965	221.648	46.8325	1.55451	0.68095
1296	1296	0.00577764	141.025	113.77	0.214757	0.657694
1297	1297	0.00577764	141.025	113.77	0.214757	0.657694
1298	1298	0.00421611	140.769	49.5089	1.04497	1.35179
1299	1299	0.207839	222.904	44.7636	1.60534	0.720477
1300	1300	0.210962	224.563	43.6947	1.63693	0.745039
1301	1301	0.0104622	140.035	204.986	-0.381049	0.159573
1302	1302	0.210337	224.956	43.4171	1.64505	0.751355
1304	1304	0.17208	205.778	48.0724	1.45409	0.429433
1305	1305	0.0190506	148.175	41.4134	1.27479	1.54393
1307	1307	0.018426	147.973	38.6253	1.34313	1.60106
1308	1308	0.0179575	147.844	38.883	1.3356	1.59477
1310	1310	0.12742	187.721	44.2248	1.44567	1.02787
1311	1311	0.124297	185.95	45.552	1.40663	0.979294
1312	1312	0.125234	186.909	45.1101	1.42151	0.997816
1313	1313	0.12258	184.913	45.765	1.39637	0.96653
1320	1320	0.237508	177.755	473.037	-0.97877	0.0360127
1321	1321	0.643192	212.753	231.814	-0.0858023	-1.41324
1326	1326	0.230169	173.526	502.631	-1.06353	-0.116488
1329	1329	0.0140537	133.499	40.5128	1.19247	1.47511
1343	1343	0.0115553	132.943	32.6693	1.40349	1.65152
1345	1345	0.018426	134.177	30.4491	1.48311	1.71809
1348	1348	0.00468457	130.51	121.869	0.0685072	0.535422
1350	1350	0.225484	171.275	521.222	-1.11291	-0.205338
1351	1351	0.0134291	133.185	43.3238	1.12304	1.41706
1352	1352	0.165053	180.861	38.1726	1.55561	0.524553
1353	1353	0.171611	183.584	36.6907	1.61015	0.575655
1354	1354	0.17208	183.735	36.6029	1.61337	0.578672
1356	1356	0.180044	187.183	35.1063	1.67371	0.848959
1357	1357	0.186446	189.685	33.8862	1.72236	0.884084
1358	1358	0.190194	191.066	32.7695	1.76312	0.913512
1360	1360	0.190974	191.46	32.4617	1.77462	0.921816
1361	1361	0.190974	191.448	32.4823	1.77392	0.921312
1362	1362	0.191443	191.614	32.1657	1.78458	0.929008
1363	1363	0.195347	134.154	607.527	-1.51041	-1.4499
1364	1364	0.190818	178.598	31.4576	1.73649	0.89429
1365	1365	0.189257	178.021	31.6616	1.7268	0.887289
1366	1366	0.180044	174.351	32.4942	1.68001	0.853509
1369	1369	0.0107745	119.146	46.9607	0.931041	1.25654
1370	1370	0.142099	159.042	37.626	1.44148	1.01135
1371	1371	0.00749532	117.374	280.75	-0.872097	-0.250965
1373	1373	0.146627	160.268	36.177	1.48842	1.05682
1374	1374	0.148657	160.959	35.0243	1.52511	1.09235
1375	1375	0.159588	165.138	32.7402	1.61818	1.18248
1377	1377	0.160056	165.342	32.5298	1.62586	0.590376
1378	1378	0.160369	165.455	32.3181	1.63307	0.597132
1380	1380	0.160369	165.801	32.294	1.63591	0.599791
1381	1381	0.00405996	117.574	91.3713	0.252137	0.688945
1383	1383	0.169425	171.174	32.3377	1.66645	0.628403
1387	1387	0.0688632	131.151	393.845	-1.09961	-0.69055
1388	1388	0.0662086	134.634	47.3534	1.04492	1.45533
1390	1390	0.0746408	138.018	44.6833	1.12779	1.53825
1397	1397	0.234541	155.01	500.801	-1.17272	-0.312964
1400	1400	0.220175	179.155	118.725	0.411443	2.5374
1403	1403	0.00796377	121.695	324.738	-0.981504	-0.342435
1420	1420	0.144753	155.697	185.231	-0.173688	-0.552853
1424	1424	0.158807	137.523	668.516	-1.58127	-1.91602
1438	1438	0.660525	479.013	125.486	1.33954	0.714709
1440	1440	0.0457527	123.225	603.923	-1.58944	-0.859586
1443	1443	0.0135853	111.806	962.639	-2.15291	-1.32178
1446	1446	0.463929	280.222	183.57	0.422985	0.774949
1457	1457	0.00577764	131.079	182.268	-0.329677	0.202522
1469	1469	0.0165522	133.294	46.0983	1.06178	1.36584
1470	1470	0.0252967	136.287	32.5523	1.43191	1.1973
1471	1471	0.00405996	129.053	114.964	0.115596	0.574791
1472	1472	0.0263898	136.521	30.6306	1.49448	1.24703
1473	1473	0.0263898	136.521	30.6306	1.49448	1.24703
1474	1474	0.0257651	136.271	31.237	1.47304	1.22999
1475	1475	0.025609	136.238	31.4226	1.46687	1.22509
1476	1476	0.00858838	130.987	37.155	1.26	1.53156
1482	1482	0.00374766	129.778	25.6319	1.62199	1.8342
1484	1484	0.00452842	129.915	22.308	1.76194	1.95121
1485	1485	0.240631	169.961	491.64	-1.06218	-0.457253
1486	1486	0.00468457	128.212	21.0367	1.80742	1.98923
1487	1487	0.00733916	128.835	20.0779	1.85892	2.03229
1488	1488	0.00421611	128.238	113.636	0.120881	0.579209
1489	1489	0.00452842	128.478	17.1665	2.0128	2.16094
1490	1490	0.00374766	128.286	23.3177	1.70505	1.90364
1491	1491	0.00343535	128.221	26.5992	1.57288	1.79314
1496	1496	0.00780762	128.966	33.8844	1.33659	1.5956
1497	1497	0.00780762	128.966	33.8844	1.33659	1.5956
1503	1503	0.00796377	128.674	28.7447	1.49883	1.73123
1508	1508	0.0410681	135.82	232.348	-0.536903	0.397691
1514	1514	0.684572	524.79	129.132	1.40216	0.539771
1516	1516	0.00843223	116.181	59.0206	0.67726	1.04437
1517	1517	0.00515303	114.744	543.399	-1.55514	-0.82202
1518	1518	0.190037	173.181	46.4774	1.31537	0.59025
1521	1521	0.188944	172.755	46.4577	1.31333	0.588779
1522	1522	0.188007	172.074	45.8523	1.3225	0.595394
1525	1525	0.0140537	105.97	466.49	-1.48208	-0.760937
1527	1527	0.0062461	104.056	75.3356	0.322979	0.748172
1528	1528	0.00452842	103.892	62.302	0.511361	0.905668
